CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
12178;35012178;JARDIM BOPEVA;SAO VICENTE;PRAIA GRANDE;;;3,60
12191;35012191;AUGUSTO PAES D AVILA REVERENDO;SAO VICENTE;PRAIA GRANDE;;;3,18
12212;35012212;MARTIM AFONSO;SAO VICENTE;SAO VICENTE;;;3,20
12221;35012221;LAUDELINO FERNANDES DOS SANTOS PROFESSOR;SAO VICENTE;PRAIA GRANDE;;;2,51
12233;35012233;MARIA PACHECO NOBRE PROFESSORA;SAO VICENTE;PRAIA GRANDE;;3,85;3,03
12245;35012245;YOLANDA CONTE PROFESSORA;SAO VICENTE;SAO VICENTE;;;2,25
12269;35012269;ARACY DA SILVA FREITAS PROFESSORA;SAO VICENTE;MONGAGUA;;;1,88
12294;35012294;FRANCISCO PEREIRA DA ROCHA DOUTOR;SAO VICENTE;PERUIBE;;2,91;2,08
12300;35012300;MARGARIDA PINHO RODRIGUES;SAO VICENTE;SAO VICENTE;;2,32;1,57
12324;35012324;ARMANDO VICTORIO BEI;SAO VICENTE;SAO VICENTE;;2,81;1,77
12348;35012348;LEOPOLDO JOSE DE SANT ANNA PROFESSOR;SAO VICENTE;SAO VICENTE;;3,36;2,43
12359;35012359;REYNALDO KUNTZ BUSCH DR;SAO VICENTE;PRAIA GRANDE;;;3,65
12361;35012361;HERMOGENES MAJOR;GUARATINGUETA;CRUZEIRO;;2,91;2,10
12373;35012373;HUMBERTO TURNER;GUARATINGUETA;CRUZEIRO;;;2,68
12385;35012385;VIRGILIO ANTUNES PROF;GUARATINGUETA;CRUZEIRO;;;2,39
12397;35012397;MARIO DA SILVA PINTO DR;GUARATINGUETA;CRUZEIRO;;3,44;2,21
12403;35012403;HORTA CORONEL;GUARATINGUETA;LAVRINHAS;;3,28;1,57
12427;35012427;JOSE DE PAULA FRANCA PROF;GUARATINGUETA;QUELUZ;;;2,33
12440;35012440;MIGUEL PEREIRA;GUARATINGUETA;SAO JOSE DO BARREIRO;;;2,05
12464;35012464;SAO LAURINDO VISCONDE;GUARATINGUETA;BANANAL;;;1,88
12488;35012488;VICENTE DE PAULA ALMEIDA;GUARATINGUETA;ARAPEI;;;1,49
12506;35012506;OSWALDO CRUZ;GUARATINGUETA;CRUZEIRO;;3,83;2,69
12531;35012531;JOSE RODRIGUES ALVES SOBRINHO DR;GUARATINGUETA;CRUZEIRO;;2,90;1,75
12543;35012543;BARAO DA BOCAINA;GUARATINGUETA;AREIAS;;;2,86
12555;35012555;HILDEBRANDO MARTINS SODERO PROF;GUARATINGUETA;SILVEIRAS;;2,43;2,98
12580;35012580;EDGARD DE SOUZA DR;GUARATINGUETA;APARECIDA;;;2,63
12609;35012609;AMERICO ALVES;GUARATINGUETA;APARECIDA;;;3,57
12634;35012634;CLOTILDE AYELLO ROCHA PROFA;GUARATINGUETA;GUARATINGUETA;;3,37;1,76
12661;35012661;RODRIGUES ALVES CONSELHEIRO;GUARATINGUETA;GUARATINGUETA;;;2,29
12683;35012683;JOAQUIM VILELA DE OLIVEIRA MARCONDES;GUARATINGUETA;GUARATINGUETA;;4,40;2,73
12695;35012695;ERNESTO QUISSAK PROF;GUARATINGUETA;GUARATINGUETA;;3,40;2,70
12725;35012725;JOSE FELIX PROF;GUARATINGUETA;POTIM;;;2,07
12750;35012750;MARIA AMALIA DE MAGALHAES TURNER PROFA;GUARATINGUETA;GUARATINGUETA;;2,90;1,72
12774;35012774;PAULO VIRGINIO;GUARATINGUETA;CUNHA;;3,47;2,64
12786;35012786;GERALDO COSTA;GUARATINGUETA;CUNHA;;3,75;3,05
12798;35012798;CASEMIRO DA ROCHA DR;GUARATINGUETA;CUNHA;;3,70;
12816;35012816;MURILLO DO AMARAL PROF;GUARATINGUETA;APARECIDA;;;2,96
12828;35012828;PAULINA CARDOSO PROFA;GUARATINGUETA;APARECIDA;;;2,66
12841;35012841;NILO SANTOS VIEIRA PROF;GUARATINGUETA;GUARATINGUETA;;3,68;2,28
12877;35012877;ANDRE BROCA PROF;GUARATINGUETA;ROSEIRA;;;2,56
12889;35012889;CHICO PADRE;TAUBATE;LAGOINHA;;3,80;3,32
12919;35012919;ROGERIO LACAZ PROF;GUARATINGUETA;GUARATINGUETA;;4,61;
12920;35012920;FRANCISCO AUGUSTO DA COSTA BRAGA PROF;GUARATINGUETA;GUARATINGUETA;;;2,80
12944;35012944;GABRIEL PRESTES;GUARATINGUETA;LORENA;;;1,92
12968;35012968;LUIZ DE CASTRO PINTO PROF;GUARATINGUETA;LORENA;;2,61;1,67
13006;35013006;LEONOR GUIMARAES PROFA;GUARATINGUETA;PIQUETE;;2,99;2,31
13018;35013018;DARWIN FELIX PROF;GUARATINGUETA;PIQUETE;;3,20;2,36
