CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
12;35000012;AYRES DE MOURA PROFESSOR;NORTE 1;SAO PAULO;;4,98;
24;35000024;GAVIAO PEIXOTO BRIGADEIRO;NORTE 1;SAO PAULO;5,62;2,99;2,16
36;35000036;JOAO SOLIMEO;NORTE 1;SAO PAULO;;3,26;2,11
48;35000048;WALFREDO ARANTES CALDAS PROFESSOR;NORTE 1;SAO PAULO;;;1,94
59;35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;NORTE 1;SAO PAULO;;;2,24
61;35000061;SUZANA DE CAMPOS DONA;NORTE 1;SAO PAULO;5,81;;
73;35000073;JULIO DE FARIA E SOUZA PROFESSOR;NORTE 1;SAO PAULO;4,97;;
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;6,24;;
97;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR;NORTE 1;SAO PAULO;;;1,92
103;35000103;JOAO BOEMER JARDIM PROFESSOR;NORTE 1;SAO PAULO;5,05;;
115;35000115;FRANCISCO FARIA NETO PROFESSOR;NORTE 1;SAO PAULO;5,16;;
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR;NORTE 1;SAO PAULO;6,21;;
139;35000139;MARIANO DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;;4,21;2,86
140;35000140;SILVIO XAVIER ANTUNES PROFESSOR;NORTE 1;SAO PAULO;;3,25;2,58
152;35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;NORTE 1;SAO PAULO;6,36;;
164;35000164;PIO TELLES PEIXOTO PROFESSOR;NORTE 1;SAO PAULO;;4,10;2,11
176;35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;NORTE 1;SAO PAULO;;3,41;2,62
188;35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;NORTE 1;SAO PAULO;;3,78;2,61
197;35000197;AGENOR COUTO DE MAGALHAES DOUTOR;NORTE 1;SAO PAULO;;3,40;2,05
206;35000206;ALIPIO DE BARROS PROFESSOR;NORTE 1;SAO PAULO;6,19;;
218;35000218;ANTONIO FRANCISCO REDONDO PROFESSOR;NORTE 1;SAO PAULO;;;2,34
224;35000224;CANDIDO GONCALVES GOMIDE PROFESSOR;NORTE 1;SAO PAULO;;3,49;1,89
231;35000231;CHIQUINHA RODRIGUES;NORTE 1;SAO PAULO;5,89;;
243;35000243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;NORTE 1;SAO PAULO;5,20;;
255;35000255;CLODOMIRO CARNEIRO;NORTE 1;SAO PAULO;;3,32;2,40
267;35000267;ERMANO MARCHETTI;NORTE 1;SAO PAULO;;3,21;3,14
279;35000279;GALDINO LOPES CHAGAS PROFESSOR;NORTE 1;SAO PAULO;6,37;;
280;35000280;HUMBERTO DE SOUZA MELLO GENERAL;NORTE 1;SAO PAULO;;3,64;2,05
292;35000292;DALILA DE ANDRADE COSTA PROFESSORA;NORTE 1;SAO PAULO;4,66;;
309;35000309;BENEDITO TOLOSA PROFESSOR;CENTRO;SAO PAULO;5,15;3,47;2,61
310;35000310;ARY BARROSO;CENTRO;SAO PAULO;5,30;;
322;35000322;PEDRO MONTEIRO DO AMARAL CAPITAO;CENTRO;SAO PAULO;;3,43;2,92
334;35000334;MANUEL DA NOBREGA PADRE;CENTRO;SAO PAULO;;4,36;3,30
346;35000346;MANOEL DA NOBREGA PADRE;NORTE 1;SAO PAULO;6,36;;
358;35000358;MATILDE MACEDO SOARES;CENTRO;SAO PAULO;5,55;3,12;
361;35000361;PASQUALE PECCICACCO;NORTE 1;SAO PAULO;5,84;;
371;35000371;ANTONIO JOSE LEITE PROF;NORTE 2;SAO PAULO;;3,90;2,58
383;35000383;ANTOINE DE SAINT EXUPERY;CENTRO;SAO PAULO;;3,53;2,72
395;35000395;JOAQUIM LUIZ DE BRITO PROFESSOR;NORTE 1;SAO PAULO;;3,57;2,18
401;35000401;MARQUES DE TAMANDARE ALMIRANTE ;NORTE 1;SAO PAULO;;3,56;2,22
