;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCIMENTO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;cad_prova_cie;particip_lp;particip_mat;particip_cie;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;porc_ACERT_lp;porc_ACERT_MAT;porc_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie;classific_lp;classific_mat;classific_cie;validade
689870;29406045;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;46541;0;5º Ano EF;F;263320368;M;20110725;TARDE;;;;;;C;0;7;7;7,0;1;1;1;18,0;18,0;16,0;75,0;75,0;66,7;217,6;229,6;262,2;Adequado;Adequado;Adequado;Suficiente;Suficiente;Suficiente;1
689871;29406051;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;919007;0;5º Ano EF;C;260757562;F;20110811;TARDE;;;;;;C;0;12;12;12,0;1;1;1;19,0;19,0;11,0;79,2;79,2;45,8;219,5;252,1;229,9;Adequado;Adequado;Adequado;Suficiente;Suficiente;Suficiente;1
689872;29406053;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;46541;0;5º Ano EF;B;260750872;M;20110804;MANHÃ;;;;;;C;0;5;5;5,0;1;1;1;20,0;14,0;15,0;83,3;58,3;62,5;241,1;204,2;229,4;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
689873;29406060;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;46541;0;5º Ano EF;E;260750914;F;20110823;TARDE;;;;;;C;0;24;24;24,0;1;1;1;18,0;21,0;12,0;75,0;87,5;50,0;235,7;253,9;231,8;Adequado;Adequado;Adequado;Suficiente;Suficiente;Suficiente;1
689874;29406061;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;46541;0;5º Ano EF;F;263320368;M;20110831;TARDE;;;;;;C;0;14;14;14,0;1;1;1;12,0;9,0;12,0;50,0;37,5;50,0;172,8;161,8;224,5;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
689875;29406063;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;46541;0;5º Ano EF;E;260750914;F;20110908;TARDE;;;;;;C;0;7;7;7,0;1;1;1;10,0;16,0;12,0;41,7;66,7;50,0;166,1;221,5;195,2;Básico;Básico;Básico;Suficiente;Suficiente;Suficiente;1
689876;29406069;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;46541;0;5º Ano EF;D;260750906;F;20111009;TARDE;;;;;;C;0;5;5;5,0;1;1;1;14,0;10,0;9,0;58,3;41,7;37,5;185,1;183,1;169,2;Básico;Básico;Abaixo do Básico;Suficiente;Suficiente;Insuficiente;1
689877;29406072;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;46541;0;5º Ano EF;E;260750914;F;20110927;TARDE;;;;;;C;0;14;14;14,0;1;1;1;22,0;23,0;20,0;91,7;95,8;83,3;262,1;296,4;299,7;Avançado;Avançado;Avançado;Avançado;Avançado;Avançado;1
689880;29406167;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;9º Ano EF;C;261386312;F;20080617;TARDE;;;;;;C;0;6;6;6,0;1;1;1;17,0;13,0;12,0;70,8;54,2;50,0;269,4;276,2;261,9;Básico;Básico;Básico;Suficiente;Suficiente;Suficiente;1
689881;29406168;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;40708;0;9º Ano EF;B;260916978;F;20071031;MANHÃ;;;;;;C;0;23;23;23,0;1;1;1;15,0;13,0;17,0;62,5;54,2;70,8;260,7;283,2;319,9;Básico;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
689882;29406171;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;35403;0;9º Ano EF;A;262335235;M;20070801;MANHÃ;;;;;;C;0;2;2;2,0;1;1;1;16,0;5,0;4,0;66,7;20,8;16,7;269,0;154,6;143,0;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
689883;29406172;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;9º Ano EF;A;261386296;M;20080409;TARDE;;;;;;C;0;6;6;6,0;1;1;1;13,0;16,0;7,0;54,2;66,7;29,2;231,0;279,2;190,8;Básico;Básico;Abaixo do Básico;Suficiente;Suficiente;Insuficiente;1
689897;29406300;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;914782;0;9º Ano EF;C;260937669;M;20070809;TARDE;;;;;;C;0;22;22;22,0;1;1;1;18,0;14,0;11,0;75,0;58,3;45,8;278,4;296,7;257,8;Adequado;Básico;Básico;Suficiente;Suficiente;Suficiente;1
689900;29406309;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;914782;0;9º Ano EF;B;260937651;F;20070915;MANHÃ;;;;;;C;0;4;4;4,0;1;1;1;18,0;19,0;13,0;75,0;79,2;54,2;281,6;310,0;266,8;Adequado;Adequado;Básico;Suficiente;Suficiente;Suficiente;1
689901;29406312;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10273;0;9º Ano EF;C;261386270;F;20070824;MANHÃ;;;;;;C;0;19;19;19,0;1;1;1;19,0;6,0;6,0;79,2;25,0;25,0;264,6;194,7;212,6;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
689905;29406343;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;904181;0;9º Ano EF;B;261415699;F;20080229;TARDE;;;;;;C;0;14;14;14,0;1;1;1;22,0;18,0;18,0;91,7;75,0;75,0;313,2;323,9;345,0;Adequado;Adequado;Adequado;Suficiente;Suficiente;Suficiente;1
689906;29406344;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;49086;0;9º Ano EF;B;261409429;F;20071215;TARDE;;;;;;C;0;20;20;20,0;1;1;1;19,0;13,0;9,0;79,2;54,2;37,5;290,4;286,2;250,9;Adequado;Básico;Básico;Suficiente;Suficiente;Suficiente;1
689907;29406345;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;49086;0;9º Ano EF;B;261409429;F;20070913;TARDE;;;;;;C;0;3;3;3,0;1;1;1;9,0;10,0;10,0;37,5;41,7;41,7;216,9;204,5;240,3;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
689908;29406347;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;904181;0;9º Ano EF;B;261415699;F;20080301;TARDE;;;;;;C;0;13;13;13,0;1;1;0;18,0;14,0;;75,0;58,3;;263,2;268,9;;Básico;Básico;;Suficiente;Suficiente;;1
689909;29406348;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;49086;0;9º Ano EF;B;261409429;F;20070811;TARDE;;;;;;C;0;19;19;19,0;1;1;1;19,0;18,0;15,0;79,2;75,0;62,5;275,2;294,5;263,1;Adequado;Básico;Básico;Suficiente;Suficiente;Suficiente;1
689910;29406352;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;44878;0;9º Ano EF;B;261406573;F;20080617;MANHÃ;;;;;;C;0;16;16;16,0;1;1;1;8,0;10,0;14,0;33,3;41,7;58,3;193,1;236,3;287,6;Abaixo do Básico;Básico;Básico;Insuficiente;Suficiente;Suficiente;1
689913;29406447;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;914848;0;9º Ano EF;A;260937727;M;20070705;MANHÃ;;;;;;C;0;21;21;21,0;1;1;1;13,0;11,0;15,0;54,2;45,8;62,5;225,8;263,0;326,8;Básico;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
