;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCIMENTO;PERIODO;NEC_ESP_1;NEC_ESP_2;NEC_ESP_3;NEC_ESP_4;NEC_ESP_5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;particip_lp;particip_mat;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;porc_ACERT_lp;porc_ACERT_MAT;profic_lp;profic_mat;nivel_profic_lp;nivel_profic_mat;classific_lp;classific_mat;validade
592664;20625856;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;F;231552290;M;20000117;NOITE;0;0;0;0;0;C;0;2,0;2,0;1;1;9,0;6,0;37,5;25,0;252,3;243,1;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
592809;29394968;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;C;232082107;M;20090514;TARDE;0;0;0;0;0;C;0;18,0;18,0;1;1;19,0;17,0;79,2;70,8;224,9;233,4;Adequado;Adequado;Suficiente;Suficiente;1
593144;27834244;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;5º Ano EF;C;232294082;M;20080703;TARDE;0;0;0;0;0;C;0;1,0;1,0;1;1;22,0;20,0;91,7;83,3;272,6;255,9;Avançado;Adequado;Avançado;Suficiente;1
593910;31279249;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;912402;0;3º Ano EF;A;231602228;F;20101209;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;170,8;189,6;Básico;Básico;Suficiente;Suficiente;1
594556;23527311;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914848;0;EM-3ª série;A;232142356;M;20020713;MANHÃ;0;0;0;0;0;C;0;3,0;3,0;1;1;9,0;10,0;37,5;41,7;235,5;285,4;Abaixo do Básico;Básico;Insuficiente;Suficiente;1
594827;29548851;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;3º Ano EF;B;232073833;F;20110228;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;195,1;301,1;Adequado;Avançado;Suficiente;Avançado;1
595206;24758099;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;9º Ano EF;D;231518721;M;20030810;TARDE;0;0;0;0;0;C;0;9,0;9,0;0;0;;;;;;;;;;;1
595347;24684077;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;9º Ano EF;A;231518770;M;20050312;MANHÃ;0;0;0;0;0;C;0;21,0;21,0;0;1;;15,0;;62,5;;300,5;;Adequado;;Suficiente;1
595447;26951270;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;918817;0;7º Ano EF;A;232247395;F;20070604;MANHÃ;0;0;0;0;0;C;0;5,0;5,0;1;1;20,0;23,0;83,3;95,8;288,2;357,7;Avançado;Avançado;Avançado;Avançado;1
595538;29607291;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;5º Ano EF;B;232099994;F;20090621;TARDE;0;0;0;0;0;C;0;4,0;4,0;1;1;17,0;16,0;70,8;66,7;215,7;229,8;Adequado;Adequado;Suficiente;Suficiente;1
595778;29406392;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914848;0;3º Ano EF;B;235265253;M;20110510;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;153,3;178,6;Básico;Básico;Suficiente;Suficiente;1
