CD_DIRETORIA,NM_DIRETORIA,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3
20507,RIBEIRAO PRETO,97.6100,2.1300,0.2600,91.6700,6.3900,1.9400,84.7000,10.4000,4.9000
20419,CAPIVARI,0.0000,0.0000,0.0000,96.2800,2.5300,1.1900,93.7000,3.9900,2.3100
10601,DIADEMA,99.9200,0.0500,0.0300,98.6700,0.9900,0.3400,96.4000,2.6200,0.9800
20204,PINDAMONHANGABA,0.0000,0.0000,0.0000,98.2100,1.1800,0.6100,91.6200,6.2100,2.1700
10317,SUL 1,99.3400,0.5000,0.1600,91.5600,6.7500,1.6900,83.9600,12.7200,3.3200
10701,CARAPICUIBA,99.0400,0.6500,0.3100,94.3000,3.9900,1.7100,89.8300,6.5300,3.6400
10403,GUARULHOS NORTE,99.6600,0.2200,0.1200,96.8700,2.2500,0.8800,90.8100,6.7400,2.4500
20502,BARRETOS,0.0000,0.0000,0.0000,99.5600,0.2800,0.1600,98.4800,1.1600,0.3600
21006,TUPA,97.2500,2.7200,0.0300,97.9900,1.4800,0.5300,93.0800,4.8200,2.1000
20602,JAU,100.0000,0.0000,0.0000,96.7200,2.7000,0.5800,94.3000,4.0300,1.6700
20310,VOTORANTIM,100.0000,0.0000,0.0000,98.3700,0.8700,0.7600,95.3500,2.5400,2.1100
20207,JACAREI,98.8500,0.0000,1.1500,97.4000,2.1600,0.4400,91.6000,6.1600,2.2400
20702,FERNANDOPOLIS,100.0000,0.0000,0.0000,98.5300,1.3600,0.1100,96.4100,3.3600,0.2300
10704,OSASCO,33.3300,66.6700,0.0000,94.1000,4.2000,1.7000,89.4400,6.9300,3.6300
20413,SAO JOAO DA BOA VISTA,99.0600,0.8300,0.1100,96.2800,2.9100,0.8100,90.4200,6.9100,2.6700
20711,VOTUPORANGA,99.7000,0.0000,0.3000,98.1200,1.5100,0.3700,95.8600,2.8000,1.3400
20307,SAO ROQUE,100.0000,0.0000,0.0000,96.9600,2.3600,0.6800,95.3700,3.2700,1.3600
21003,MARILIA,99.6200,0.3800,0.0000,97.9200,1.8300,0.2500,93.7500,4.8600,1.3900
20313,ITARARE,99.9100,0.0900,0.0000,97.1600,2.1300,0.7100,93.0000,4.1100,2.8900
20703,JALES,99.1700,0.8300,0.0000,98.5200,1.3100,0.1700,97.1800,2.6700,0.1500
20417,CAMPINAS LESTE,99.8800,0.0900,0.0300,96.6800,2.8700,0.4500,92.7900,6.2300,0.9800
20208,CARAGUATATUBA,84.4400,2.2200,13.3400,98.9100,0.7800,0.3100,97.5100,2.1600,0.3300
20302,AVARE,100.0000,0.0000,0.0000,98.0300,1.1400,0.8300,92.8200,4.3700,2.8100
20202,GUARATINGUETA,66.6700,33.3300,0.0000,93.0300,5.2500,1.7200,87.7800,9.6100,2.6100
10401,CAIEIRAS,99.5800,0.2400,0.1800,97.9000,1.5600,0.5400,94.8100,3.4200,1.7700
10501,MOGI DAS CRUZES,99.6200,0.3100,0.0700,98.0000,1.4000,0.6000,90.9400,6.7700,2.2900
20408,LIMEIRA,99.2900,0.5500,0.1600,95.8200,3.0900,1.0900,90.8900,6.4200,2.6900
