CD_DIRETORIA,NM_DIRETORIA,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3
20102,SANTOS,99.4600,0.1800,0.3600,96.8600,1.8700,1.2700,92.3100,4.6700,3.0200
20308,SOROCABA,99.9500,0.0000,0.0500,98.3200,1.0700,0.6100,95.1000,3.1800,1.7200
20205,SAO JOSE DOS CAMPOS,99.1800,0.7800,0.0400,95.9000,3.8600,0.2400,90.1200,8.7300,1.1500
10318,SUL 3,97.9600,1.3200,0.7200,90.5100,7.4800,2.0100,82.7800,11.9400,5.2800
10312,CENTRO OESTE,99.3000,0.6100,0.0900,96.3500,2.7300,0.9200,88.0400,8.4300,3.5300
21101,MIRACATU,98.6500,1.3500,0.0000,99.0200,0.8700,0.1100,97.1200,2.4900,0.3900
20401,AMERICANA,99.1800,0.8100,0.0100,97.1400,2.3000,0.5600,92.6700,5.0000,2.3300
10706,TABOAO DA SERRA,99.1700,0.7900,0.0400,93.6500,5.5900,0.7600,89.5700,8.5900,1.8400
20501,ARARAQUARA,99.8800,0.1200,0.0000,97.0700,2.7000,0.2300,93.3700,5.5500,1.0800
20407,JUNDIAI,0.0000,0.0000,0.0000,96.8500,2.6400,0.5100,92.8000,5.3700,1.8300
10205,LESTE 5,99.5500,0.3100,0.1400,94.8000,4.5500,0.6500,87.7700,10.0300,2.2000
10606,SAO BERNARDO DO CAMPO,100.0000,0.0000,0.0000,95.8500,3.6600,0.4900,86.9800,10.5900,2.4300
20301,APIAI,99.7900,0.2100,0.0000,98.8700,0.8200,0.3100,96.3500,2.8000,0.8500
10314,SUL 2,99.0200,0.5000,0.4800,93.0000,5.3700,1.6300,85.8100,10.1100,4.0800
20510,SAO JOAQUIM DA BARRA,98.8000,1.2000,0.0000,95.3000,3.8400,0.8600,90.8600,6.4000,2.7400
21102,REGISTRO,97.5300,1.2300,1.2400,96.3900,2.6200,0.9900,91.4700,6.1400,2.3900
20802,ARACATUBA,100.0000,0.0000,0.0000,98.0800,1.7100,0.2100,95.7800,3.3500,0.8700
20908,SANTO ANASTACIO,99.4100,0.5900,0.0000,97.6000,2.0500,0.3500,92.7700,6.0200,1.2100
20410,PIRACICABA,99.9300,0.0700,0.0000,98.0300,1.3500,0.6200,94.3200,3.6600,2.0200
20604,LINS,98.7000,1.3000,0.0000,94.4100,4.4400,1.1500,86.1400,11.7600,2.1000
20710,SAO JOSE DO RIO PRETO,0.0000,0.0000,0.0000,96.2000,2.9100,0.8900,91.4800,6.9000,1.6200
20404,CAMPINAS OESTE,98.4600,1.2100,0.3300,95.3800,3.6700,0.9500,89.6800,6.6500,3.6700
20504,FRANCA,98.2500,1.7300,0.0200,96.7500,2.0900,1.1600,91.2300,5.2100,3.5600
10211,LESTE 3,98.4200,0.9300,0.6500,92.1100,4.9600,2.9300,82.5900,9.6800,7.7300
10208,LESTE 4,99.2700,0.5300,0.2000,93.5800,5.2400,1.1800,82.8000,13.1100,4.0900
10603,SANTO ANDRE,99.0800,0.7300,0.1900,95.3000,3.7400,0.9600,89.7000,7.5400,2.7600
10503,ITAQUAQUECETUBA,99.2600,0.7400,0.0000,95.0100,4.1900,0.8000,89.6300,8.1300,2.2400
10703,ITAPEVI,0.0000,0.0000,0.0000,95.1700,3.4200,1.4100,92.1800,4.8800,2.9400
20304,ITAPETININGA,99.3700,0.6300,0.0000,97.4100,2.0000,0.5900,93.4100,4.8000,1.7900
10102,CENTRO,99.1900,0.3600,0.4500,94.7400,4.0500,1.2100,91.6800,6.7100,1.6100
20305,ITAPEVA,0.0000,0.0000,0.0000,97.4900,2.5100,0.0000,96.1800,3.7600,0.0600
20909,MIRANTE DO PARANAPANEMA,99.6800,0.3200,0.0000,98.7900,1.2100,0.0000,97.8600,1.9600,0.1800
20511,TAQUARITINGA,99.6100,0.3100,0.0800,98.5200,1.4000,0.0800,95.5900,3.8100,0.6000
20803,BIRIGUI,0.0000,0.0000,0.0000,98.2200,1.4600,0.3200,95.1900,3.0400,1.7700
20311,PIRAJU,0.0000,0.0000,0.0000,97.4700,1.4300,1.1000,94.9300,2.7300,2.3400
20411,PIRASSUNUNGA,98.8600,1.1400,0.0000,96.3200,2.6700,1.0100,88.8100,7.5000,3.6900
21001,ASSIS,100.0000,0.0000,0.0000,95.8000,3.4600,0.7400,93.6800,4.8700,1.4500
20206,TAUBATE,75.0000,25.0000,0.0000,95.8600,3.3700,0.7700,93.7900,4.6700,1.5400
10104,NORTE 2,99.2000,0.5800,0.2200,94.7700,4.1800,1.0500,88.6700,8.2500,3.0800
20306,ITU,99.6200,0.3800,0.0000,96.9200,2.8400,0.2400,94.3100,5.0800,0.6100
21004,OURINHOS,99.5500,0.4500,0.0000,97.1900,1.8400,0.9700,93.5000,4.7200,1.7800
20506,JABOTICABAL,0.0000,0.0000,0.0000,96.5300,2.0500,1.4200,94.4700,2.4200,3.1100
20512,SERTAOZINHO,91.6700,8.3300,0.0000,98.4800,1.0500,0.4700,96.0600,2.2600,1.6800
20904,PRESIDENTE PRUDENTE,97.7300,2.2700,0.0000,93.9300,5.1700,0.9000,89.3100,8.1900,2.5000
20804,PENAPOLIS,100.0000,0.0000,0.0000,97.1800,2.0600,0.7600,95.8200,3.3900,0.7900
20704,JOSE BONIFACIO,98.9400,1.0600,0.0000,96.8900,2.6100,0.5000,92.5800,6.7100,0.7100
10602,MAUA,99.0800,0.7300,0.1900,95.7500,3.6000,0.6500,90.7600,7.2500,1.9900
10101,NORTE 1,98.7700,0.7600,0.4700,92.7300,6.0400,1.2300,81.9800,13.1700,4.8500
20303,BOTUCATU,100.0000,0.0000,0.0000,95.5500,3.3000,1.1500,89.6300,7.7000,2.6700
10316,CENTRO SUL,99.1800,0.6000,0.2200,94.6100,4.5800,0.8100,86.3500,11.1600,2.4900
10702,ITAPECERICA DA SERRA,99.8700,0.1100,0.0200,98.4000,1.2800,0.3200,95.6800,3.1100,1.2100
10207,LESTE 1,98.9700,0.6100,0.4200,92.3200,5.5800,2.1000,78.8700,14.5400,6.5900
10502,SUZANO,99.1200,0.5700,0.3100,95.8900,2.8600,1.2500,89.5200,7.2100,3.2700
10402,GUARULHOS SUL,99.4100,0.4500,0.1400,95.4000,4.0400,0.5600,90.3700,7.9500,1.6800
10210,LESTE 2,98.6900,0.8300,0.4800,93.8600,5.0300,1.1100,85.4100,10.3600,4.2300
20103,SAO VICENTE,96.5100,3.4900,0.0000,93.5400,5.2500,1.2100,90.5000,7.5500,1.9500
20403,BRAGANCA PAULISTA,99.5500,0.4500,0.0000,97.9800,1.3300,0.6900,92.9500,4.2600,2.7900
20415,SUMARE,99.4700,0.5000,0.0300,97.0100,2.2800,0.7100,93.9800,4.5500,1.4700
20601,BAURU,98.7800,1.0800,0.1400,94.5500,4.4800,0.9700,88.9900,7.9600,3.0500
20701,CATANDUVA,0.0000,0.0000,0.0000,98.0100,1.8800,0.1100,96.2100,3.3700,0.4200
20801,ANDRADINA,0.0000,0.0000,0.0000,98.4200,1.2900,0.2900,97.1600,2.3700,0.4700
20409,MOGI MIRIM,99.0900,0.8000,0.1100,95.1500,3.3200,1.5300,90.7000,5.2800,4.0200
20901,ADAMANTINA,66.6700,33.3300,0.0000,96.7100,2.9700,0.3200,93.9600,5.3700,0.6700
20509,SAO CARLOS,100.0000,0.0000,0.0000,99.6300,0.3500,0.0200,97.4900,2.4400,0.0700

