ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2022;10316;CENTRO SUL;99,36;0,39;0,25;96,89;2,62;0,49;89,23;9,89;0,88
2022;10702;ITAPECERICA DA SERRA;99,93;0,02;0,05;98,95;0,76;0,29;96,89;2,3;0,81
2022;10207;LESTE 1;99,18;0,44;0,38;94,11;4,54;1,35;83,49;12,59;3,92
2022;10502;SUZANO;99,49;0,37;0,14;97,43;1,78;0,79;91,31;5,95;2,74
2022;10402;GUARULHOS SUL;99,41;0,49;0,1;97,5;2,3;0,2;92,29;6,96;0,75
2022;10210;LESTE 2;99,41;0,28;0,31;97,57;2,25;0,18;92,51;7,02;0,47
2022;20103;SAO VICENTE;97,46;2,54;0;96,07;3,53;0,4;91,2;7,99;0,81
2022;20415;SUMARE;99,47;0,49;0,04;97,72;1,9;0,38;93,56;5,57;0,87
2022;20403;BRAGANCA PAULISTA;100;0;0;99,54;0,02;0,44;98,89;0,18;0,93
2022;20601;BAURU;99,08;0,8;0,12;96,84;2,48;0,68;90,62;6,3;3,08
2022;20701;CATANDUVA;0;0;0;99,13;0,85;0,02;98,08;1,72;0,2
2022;20801;ANDRADINA;0;0;0;99,24;0,68;0,08;96,44;3,14;0,42
2022;20901;ADAMANTINA;100;0;0;98,71;0,99;0,3;96,4;2,77;0,83
2022;20409;MOGI MIRIM;99,16;0,84;0;97,21;1,76;1,03;90,75;5,45;3,8
2022;20509;SAO CARLOS;99,92;0,08;0;99,31;0,62;0,07;97,37;2,15;0,48
