CD_DIRETORIA,NM_DIRETORIA,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3
20202,GUARATINGUETA,100,0,0,97.66,2.32,0.02,98,1.92,0.08
10401,CAIEIRAS,100,0,0,99.71,0.21,0.08,99.15,0.64,0.21
10501,MOGI DAS CRUZES,100,0,0,99.21,0.78,0.01,98.04,1.63,0.33
20408,LIMEIRA,99.42,0.58,0,99,0.99,0.01,98.89,1.03,0.08
20102,SANTOS,99.92,0,0.08,99.35,0.54,0.11,98.63,1.19,0.18
20308,SOROCABA,99.57,0.43,0,99.46,0.39,0.15,98.98,0.73,0.29
20205,SAO JOSE DOS CAMPOS,99.18,0.54,0.28,98.59,0.94,0.47,97.17,2.29,0.54
10318,SUL 3,99.23,0.67,0.1,97.52,2.36,0.12,96.94,2.83,0.23
10312,CENTRO OESTE,99.2,0.56,0.24,98.49,0.67,0.84,97.73,0.52,1.75
21101,MIRACATU,99.63,0.37,0,99.83,0.15,0.02,99.5,0.5,0
20305,ITAPEVA,0,0,0,100,0,0,99.83,0.13,0.04
20909,MIRANTE DO PARANAPANEMA,100,0,0,100,0,0,99.81,0.15,0.04
